target,target_key,seed,iteration,family,prompt_type,prompt_index,prompt,generated_path,clip_similarity,lpips,mse,clip_norm,lpips_norm,mse_norm,score
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_background,2,"a clear glass filled with fresh orange juice, decorated with orange slices and pineapple pieces, on a warm brown tabletop with a round wooden board and soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_25/candidate_002.png,0.9273715019226074,0.6249644160270691,0.04091787338256836,0.9762935417767705,0.37289374254416513,0.0,0.8389892738707192
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_background,1,"a clear glass filled with fresh orange juice, decorated with orange slices and pineapple pieces, on a warm brown tabletop with a round wooden board",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_25/candidate_001.png,0.9222321510314941,0.6219057440757751,0.042741432785987854,0.8492158710435141,0.3323204592807395,0.1338626245430087,0.7782934893551604
1159_25.png,1159_25,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_compact_full,9,"a clear glass placed slightly right of center, filled with fresh orange juice, decorated with orange slices and pineapple pieces, on a warm brown tabletop with a round wooden board on the left and soft neutral background",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_25/candidate_009.png,0.9217712879180908,0.6218999028205872,0.04267718270421028,0.8378203831270462,0.3322429750309964,0.1291461976705301,0.7730983817840715
1159_29.png,1159_29,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_detail_focus,1,"a palm tree stands tall in turquoise ocean water during sunset, with soft warm sunlight and gentle haze",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_29/candidate_001.png,0.9284318685531616,0.735373854637146,0.059748660773038864,0.9999998318352034,0.465879320343198,0.270116712564566,0.7866365165238659
1159_29.png,1159_29,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_detail_focus,3,"a lone palm tree rises from the waves in a tropical seascape, with the sun low over distant mountains, casting a warm glow",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_29/candidate_003.png,0.9108294248580933,0.7117031812667847,0.0641331747174263,0.703988695494275,0.32351244832748377,0.3829063027869225,0.6842987381374517
1159_29.png,1159_29,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_detail_focus,2,"a tall palm tree in shallow ocean water, with large green palm fronds and textured trunk, under a pastel cloudy sky",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_29/candidate_002.png,0.8781235218048096,0.6579142808914185,0.06101509928703308,0.15399054208043195,0.0,0.30269525669670794,0.5467257453705452
1159_3.png,1159_3,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,4,a serious blond anime warrior in a heroic pose wearing futuristic silver armor and holding a glowing orange fire sword with teal ghostly smoke on the left and orange fire spirit on the right,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_3/candidate_004.png,0.8844090104103088,0.6255409717559814,0.04676852747797966,0.9254457156066682,0.12319371097003444,0.0700000301516448,0.9064453704001559
1159_3.png,1159_3,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_only,7,"a centered blond anime warrior in a heroic pose, wearing silver armor, holding a glowing orange fire sword, with a dark smoky background and abstract elemental shapes.",/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_3/candidate_007.png,0.8831820487976074,0.6418358087539673,0.050416499376297,0.9108397036554099,0.2976670785588796,0.23214516376626382,0.8131385040275267
1159_3.png,1159_3,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_subject_composition,1,a serious blond anime warrior with messy hair wearing futuristic silver armor holding a glowing curved flame blade across the lower body,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_3/candidate_001.png,0.8558074235916138,0.6140353679656982,0.048604268580675125,0.584966343983105,0.0,0.15159509027688897,0.7773236629638636
1159_7.png,1159_7,1159,1,llm_refinement,groq_llama_3.1_refinement_r1_from_detail_focus,1,a small hedgehog-like creature with very long spiky orange fur emerging from the top of a pale carved wooden cube with rough vertical grooves and blocky texture viewed from slightly above,/home/beflex/Documentos/Bernardo/Estudo/IAG/PROJETO 2/miacd-iag-image-to-prompt/outputs/20260602-223317_round1_llm_refinement/1159_7/candidate_001.png,0.835125744342804,0.4479296803474426,0.0276722963899374,0.6909342284185729,0.0,0.0,0.8454671142092864
